날짜,종가,전일비,시가,고가,저가,거래량,종목코드,종목명
2020.07.20,187000.0,4000.0,193500.0,195000.0,185000.0,657860.0,352820,하이브
2020.07.17,191000.0,7500.0,185000.0,193000.0,183500.0,1109080.0,352820,하이브
2020.07.16,183500.0,6500.0,179000.0,197500.0,179000.0,3290169.0,352820,하이브
2020.07.15,177000.0,11500.0,190000.0,191000.0,174000.0,1859251.0,352820,하이브
2020.07.14,188500.0,10500.0,199500.0,201500.0,188000.0,1389588.0,352820,하이브
2020.07.13,199000.0,6500.0,206000.0,207500.0,199000.0,1072716.0,352820,하이브
2020.07.10,205500.0,0.0,200500.0,213500.0,198500.0,1825361.0,352820,하이브
2020.07.09,205500.0,11500.0,213500.0,220000.0,205500.0,1897646.0,352820,하이브
2020.07.08,217000.0,500.0,214500.0,225000.0,198000.0,5990009.0,352820,하이브
2020.07.07,216500.0,2000.0,219000.0,269500.0,210000.0,10105187.0,352820,하이브
2020.07.06,214500.0,49500.0,214500.0,214500.0,193500.0,7126211.0,352820,하이브
2020.07.03,165000.0,38000.0,165000.0,165000.0,165000.0,711921.0,352820,하이브
2020.07.02,127000.0,29000.0,98000.0,127000.0,98000.0,698642.0,352820,하이브
2021.07.28,122000.0,0.0,121500.0,122500.0,121000.0,19232.0,352820,하이브
2021.07.27,122000.0,1500.0,121000.0,122500.0,120500.0,146705.0,352820,하이브
2021.07.26,120500.0,1500.0,122500.0,123000.0,120000.0,221231.0,352820,하이브
2021.07.23,122000.0,2000.0,124000.0,125000.0,122000.0,235444.0,352820,하이브
2021.07.22,124000.0,1000.0,125000.0,125000.0,123000.0,155904.0,352820,하이브
2021.07.21,125000.0,500.0,125500.0,127000.0,124000.0,194282.0,352820,하이브
2021.07.20,124500.0,1000.0,123500.0,125500.0,123000.0,198884.0,352820,하이브
2021.07.19,125500.0,0.0,124000.0,127000.0,123000.0,216944.0,352820,하이브
2021.07.16,125500.0,3000.0,127500.0,128500.0,125500.0,327694.0,352820,하이브
2021.07.15,128500.0,2000.0,130500.0,131500.0,128000.0,228926.0,352820,하이브
2021.07.14,130500.0,2000.0,132500.0,132500.0,129500.0,214600.0,352820,하이브
2021.07.13,132500.0,5000.0,129000.0,133000.0,128000.0,354269.0,352820,하이브
2021.07.12,127500.0,500.0,128500.0,128500.0,126500.0,181619.0,352820,하이브
2021.07.09,128000.0,2000.0,129000.0,130000.0,125000.0,425244.0,352820,하이브
2021.07.08,130000.0,500.0,129500.0,135000.0,129500.0,570279.0,352820,하이브
2021.07.07,129500.0,2000.0,131500.0,132000.0,128500.0,308334.0,352820,하이브
2021.07.06,131500.0,500.0,133000.0,133000.0,129500.0,302620.0,352820,하이브
2021.07.05,132000.0,3000.0,134500.0,137500.0,132000.0,645056.0,352820,하이브
2021.07.02,135000.0,7000.0,129000.0,135000.0,127000.0,1121805.0,352820,하이브
2021.07.01,128000.0,5000.0,123000.0,128500.0,122000.0,588182.0,352820,하이브
2021.06.30,123000.0,2000.0,125000.0,125500.0,123000.0,231375.0,352820,하이브
2021.06.29,125000.0,2000.0,123500.0,126000.0,123000.0,316209.0,352820,하이브
2021.06.28,123000.0,1000.0,122000.0,124500.0,121000.0,250417.0,352820,하이브
2021.06.25,122000.0,0.0,122500.0,123000.0,121000.0,207002.0,352820,하이브
2021.06.24,122000.0,500.0,121500.0,123000.0,121000.0,225303.0,352820,하이브
2021.06.23,121500.0,500.0,121000.0,123000.0,119500.0,257022.0,352820,하이브
2021.06.22,121000.0,2500.0,125000.0,125500.0,120500.0,442181.0,352820,하이브
2021.06.21,123500.0,4000.0,127500.0,128500.0,123000.0,446269.0,352820,하이브
2021.06.18,127500.0,1000.0,127000.0,127500.0,124500.0,423591.0,352820,하이브
2021.06.17,126500.0,3000.0,123500.0,128000.0,123000.0,740335.0,352820,하이브
2021.06.16,123500.0,4500.0,119500.0,124000.0,119000.0,564885.0,352820,하이브
2021.06.15,119000.0,0.0,118500.0,120500.0,117000.0,346677.0,352820,하이브
2021.06.14,119000.0,2500.0,122000.0,122500.0,119000.0,354305.0,352820,하이브
2021.06.11,121500.0,500.0,121000.0,122000.0,118500.0,363126.0,352820,하이브
